zip,Zipcode name,City,State,County Name
28315,"ABERDEEN, NC",ABERDEEN,NC,MOORE
27006,"ADVANCE, NC",ADVANCE,NC,DAVIE
27910,"AHOSKIE, NC",AHOSKIE,NC,HERTFORD
27201,"ALAMANCE, NC",ALAMANCE,NC,ALAMANCE
28001,"ALBEMARLE, NC",ALBEMARLE,NC,STANLY
28002,"ALBEMARLE, NC",ALBEMARLE,NC,STANLY
28508,"ALBERTSON, NC",ALBERTSON,NC,DUPLIN
28701,"ALEXANDER, NC",ALEXANDER,NC,BUNCOMBE
28006,"ALEXIS, NC",ALEXIS,NC,GASTON
28509,"ALLIANCE, NC",ALLIANCE,NC,PAMLICO
28702,"ALMOND, NC",ALMOND,NC,SWAIN
27202,"ALTAMAHAW, NC",ALTAMAHAW,NC,ALAMANCE
28901,"ANDREWS, NC",ANDREWS,NC,CHEROKEE
27501,"ANGIER, NC",ANGIER,NC,HARNETT
28007,"ANSONVILLE, NC",ANSONVILLE,NC,ANSON
27502,"APEX, NC",APEX,NC,WAKE
27523,"APEX, NC",APEX,NC,WAKE
27539,"APEX, NC",APEX,NC,WAKE
28510,"ARAPAHOE, NC",ARAPAHOE,NC,PAMLICO
27007,"ARARAT, NC",ARARAT,NC,SURRY
28704,"ARDEN, NC",ARDEN,NC,BUNCOMBE
28420,"ASH, NC",ASH,NC,BRUNSWICK
27203,"ASHEBORO, NC",ASHEBORO,NC,RANDOLPH
27204,"ASHEBORO, NC",ASHEBORO,NC,RANDOLPH
27205,"ASHEBORO, NC",ASHEBORO,NC,RANDOLPH
28801,"ASHEVILLE, NC",ASHEVILLE,NC,BUNCOMBE
28802,"ASHEVILLE, NC",ASHEVILLE,NC,BUNCOMBE
28803,"ASHEVILLE, NC",ASHEVILLE,NC,BUNCOMBE
28804,"ASHEVILLE, NC",ASHEVILLE,NC,BUNCOMBE
28805,"ASHEVILLE, NC",ASHEVILLE,NC,BUNCOMBE
28806,"ASHEVILLE, NC",ASHEVILLE,NC,BUNCOMBE
28810,"ASHEVILLE, NC",ASHEVILLE,NC,BUNCOMBE
